,Close
2018-01-02,2.5
2018-01-03,2.4875961876564228
2018-01-04,2.4458273070333765
2018-01-05,2.448871086190277
2018-01-08,2.4676970696344402
2018-01-09,2.409268057395562
2018-01-10,2.3736437255152585
2018-01-11,2.344876249676741
2018-01-12,2.336563362127926
2018-01-15,2.3061220059828544
2018-01-16,2.3344036349867303
2018-01-17,2.2701983069283935
2018-01-18,2.2070095590406167
2018-01-19,2.193654006580158
2018-01-22,2.186627894414564
2018-01-23,2.1284421395002395
2018-01-24,2.104172185794337
2018-01-25,2.0881304330975734
2018-01-26,2.0723985152166877
2018-01-29,2.0784737745482595
2018-01-30,2.052010619171317
2018-01-31,2.111124071171648
2018-02-01,2.1306522567609907
2018-02-02,2.0983677159353378
2018-02-05,2.102148175670041
2018-02-06,2.107108788414265
2018-02-07,2.1556976473941765
2018-02-08,2.1316823502375226
2018-02-09,2.1623758981463457
2018-02-12,2.1640500771776447
2018-02-13,2.223712737835595
2018-02-14,2.2753483959411716
2018-02-15,2.2832275681248757
2018-02-16,2.272736263284233
2018-02-19,2.2930004996714115
2018-02-20,2.285782498586325
2018-02-21,2.3529947828254585
2018-02-22,2.3561335859525387
2018-02-23,2.3399078806520253
2018-02-26,2.321523277209068
2018-02-27,2.27300185380112
2018-02-28,2.295264218924853
2018-03-01,2.2624637708192727
2018-03-02,2.3063897009067826
2018-03-05,2.2546722987467196
2018-03-06,2.2597619567056495
2018-03-07,2.3057709070455474
2018-03-08,2.219681024460602
2018-03-09,2.3004116462122894
2018-03-12,2.283400238324365
2018-03-13,2.2890440536108505
2018-03-14,2.311902022631504
2018-03-15,2.3409471848761263
2018-03-16,2.3519025424065134
2018-03-19,2.391797925754768
2018-03-20,2.4125607542716403
2018-03-21,2.4829959998729323
2018-03-22,2.503889101587116
2018-03-23,2.5824745223824395
2018-03-26,2.6185176759919457
2018-03-27,2.5462876709612154
2018-03-28,2.650731778096729
2018-03-29,2.6277580137576404
2018-03-30,2.6875797743657097
2018-04-02,2.6886515120904875
2018-04-03,2.7310951223945907
2018-04-04,2.703555965959959
2018-04-05,2.7285857476835425
2018-04-06,2.718458125867766
2018-04-09,2.781618250331362
2018-04-10,2.7991649770280422
2018-04-11,2.836602682680105
2018-04-12,2.750039607821182
2018-04-13,2.746616700629637
2018-04-16,2.763038766031969
2018-04-17,2.771983362289557
